lsmh_id,lifepak_id,action,notes
LSMH02128,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02129,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02131,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02136,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02147,704998,keep,
LSMH02148,643710,keep,
LSMH02150,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02157,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02160,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02161,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02165,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02168,161309,keep,
LSMH02169,882844,keep,
LSMH02170,782453,keep,
LSMH02172,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02176,340335,keep,
LSMH02181,898891,keep,"Used two LifePak IDs, per README_ttt_p2_data_collection"
LSMH02181,961421,keep,"Used two LifePak IDs, per README_ttt_p2_data_collection"
LSMH02182,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02184,219389,keep,
LSMH02185,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
